state,district,total_rainfall,average_rainfall
Andaman And Nicobar Islands,Nicobars,2760.66756,230.05562999999998
Andaman And Nicobar Islands,North And Middle Andaman,3160.18764,263.34897
Andaman And Nicobar Islands,South Andamans,3360.94296,280.07858
Andhra Pradesh,Anantapur,597.17000617,49.76416718083333
Andhra Pradesh,Chittoor,756.7400029998,63.061666916650005
Andhra Pradesh,East Godavari,973.235020036,81.10291833633333
Andhra Pradesh,Guntur,667.660011,55.63833425000001
Andhra Pradesh,Krishna,735.1999979,61.26666649166666
Andhra Pradesh,Kurnool,494.1200031,41.176666925
Andhra Pradesh,Prakasam,591.0500039899999,49.254166999166664
Andhra Pradesh,Spsr Nellore,768.7699911,64.064165925
Andhra Pradesh,Srikakulam,906.65000498,75.55416708166666
Andhra Pradesh,Visakhapatanam,844.519991,70.37666591666667
Andhra Pradesh,Vizianagaram,745.9299932,62.160832766666665
Andhra Pradesh,West Godavari,882.666894259,73.55557452158332
Andhra Pradesh,Y.S.R.,718.98000201,59.915000167500004
Arunachal Pradesh,Anjaw,2524.1500010990003,210.3458334249167
Arunachal Pradesh,Changlang,0.0,
Arunachal Pradesh,Dibang Valley,0.0,
Arunachal Pradesh,East Kameng,1880.3500201,156.69583500833332
Arunachal Pradesh,East Siang,0.0,
Arunachal Pradesh,Kamle,0.0,
Arunachal Pradesh,Kra Daadi,0.0,
Arunachal Pradesh,Kurung Kumey,0.0,
Arunachal Pradesh,Leparada,0.0,
Arunachal Pradesh,Lohit,2760.340011009,230.02833425075002
Arunachal Pradesh,Longding,3023.02006011,251.9183383425
Arunachal Pradesh,Lower Dibang Valley,0.0,
Arunachal Pradesh,Lower Siang,0.0,
Arunachal Pradesh,Lower Subansiri,0.0,
Arunachal Pradesh,Namsai,0.0,
Arunachal Pradesh,Pakke Kessang,1880.3500201,156.69583500833332
Arunachal Pradesh,Papum Pare,2424.3600099,202.030000825
Arunachal Pradesh,Shi Yomi,3609.7700002,300.8141666833333
Arunachal Pradesh,Siang,0.0,
Arunachal Pradesh,Tawang,1926.29000979,160.52416748250002
Arunachal Pradesh,Tirap,3023.02006011,251.9183383425
Arunachal Pradesh,Upper Siang,0.0,
Arunachal Pradesh,Upper Subansiri,2964.4100305,247.03416920833334
Arunachal Pradesh,West Kameng,1915.6099799899998,159.63416499916664
Arunachal Pradesh,West Siang,3609.7700002,300.8141666833333
Assam,Baksa,2695.35657072,224.61304756
Assam,Barpeta,3240.601906407,270.05015886725
Assam,Biswanath,1953.2000292,162.7666691
Assam,Bongaigaon,3160.23122025,263.3526016875
Assam,Cachar,3795.7206985000003,316.3100582083334
Assam,Charaideo,1949.649981,162.47083175
Assam,Chirang,3757.16333132,313.09694427666665
Assam,Darrang,1534.46326112,127.87193842666666
Assam,Dhemaji,2654.1500189999997,221.17916824999998
Assam,Dhubri,2851.91000199,237.6591668325
Assam,Dibrugarh,2223.67998,185.30666499999998
Assam,Dima Hasao,3111.7099804,259.30916503333333
Assam,Goalpara,2917.020001,243.0850000833333
Assam,Golaghat,1482.43921916,123.53660159666667
Assam,Hailakandi,3531.4712077721,294.28926731434166
Assam,Hojai,1654.64000899,137.88666741583333
Assam,Jorhat,1920.13000401,160.0108336675
Assam,Kamrup,2048.8481108,170.73734256666668
Assam,Kamrup Metro,1432.0134715,119.33445595833332
Assam,Karbi Anglong,0.0,
Assam,Karimganj,3333.040055,277.7533379166667
Assam,Kokrajhar,3238.34371179,269.8619759825
Assam,Lakhimpur,2702.3141776,225.19284813333334
Assam,Majuli,1920.13000401,160.0108336675
Assam,Marigaon,1455.38,121.28166666666668
Assam,Nagaon,1654.64000899,137.88666741583333
Assam,Nalbari,1945.65998899,162.13833241583333
Assam,Sivasagar,1949.649981,162.47083175
Assam,Sonitpur,1953.2000292,162.7666691
Assam,South Salmara Mancachar,2851.91000199,237.6591668325
Assam,Tinsukia,2391.2999819,199.27499849166668
Assam,Udalguri,1852.7835751799998,154.39863126499998
Assam,West Karbi Anglong,1586.7399989,132.22833324166666
Bihar,Araria,1237.36999801,103.11416650083333
Bihar,Arwal,664.539982,55.378331833333334
Bihar,Aurangabad,812.78999,67.73249916666667
Bihar,Banka,821.469996,68.455833
Bihar,Begusarai,913.6999899990001,76.14166583325
Bihar,Bhagalpur,958.22998799,79.85249899916667
Bihar,Bhojpur,503.1700111,41.930834258333334
Bihar,Buxar,790.9900014,65.91583345
Bihar,Darbhanga,1216.00998598,101.33416549833333
Bihar,Gaya,765.72999009,63.8108325075
Bihar,Gopalganj,810.7800078,67.56500065
Bihar,Jamui,580.8900159996,48.4075013333
Bihar,Jehanabad,732.3700022099999,61.03083351749999
Bihar,Kaimur (Bhabua),850.4499791999999,70.87083159999999
Bihar,Katihar,1143.59998598,95.29999883166666
Bihar,Khagaria,926.549998,77.21249983333333
Bihar,Kishanganj,2017.23003402,168.102502835
Bihar,Lakhisarai,537.3200099989999,44.77666749991666
Bihar,Madhepura,1006.159978,83.84666483333334
Bihar,Madhubani,1175.34001222,97.94500101833334
Bihar,Munger,632.809992,52.734165999999995
Bihar,Muzaffarpur,830.1700001099999,69.1808333425
Bihar,Nalanda,754.569989004,62.880832417
Bihar,Nawada,659.990002,54.999166833333334
Bihar,Pashchim Champaran,1008.1099994,84.00916661666666
Bihar,Patna,700.57999799,58.38166649916667
Bihar,Purbi Champaran,907.5299977,75.62749980833333
Bihar,Purnia,1081.29000802,90.10750066833333
Bihar,Rohtas,868.2799998,72.35666665000001
Bihar,Saharsa,1101.630021,91.80250174999999
Bihar,Samastipur,1088.8699980400002,90.73916650333335
Bihar,Saran,529.98999122,44.165832601666665
Bihar,Sheikhpura,677.240009999,56.436667499916666
Bihar,Sheohar,813.90999822,67.82583318500001
Bihar,Sitamarhi,897.73000613,74.81083384416667
Bihar,Siwan,630.5200022,52.54333351666667
Bihar,Supaul,1199.549992,99.96249933333333
Bihar,Vaishali,682.78000199,56.89833349916666
Chandigarh,Chandigarh,1110.088536,92.507378
Chhattisgarh,Balod,861.62999818,71.80249984833334
Chhattisgarh,Baloda Bazar,683.98998807,56.9991656725
Chhattisgarh,Balrampur,580.88998821,48.407499017499994
Chhattisgarh,Bastar,902.189989898,75.18249915816666
Chhattisgarh,Bemetara,861.62999818,71.80249984833334
Chhattisgarh,Bijapur,1049.31997597,87.44333133083335
Chhattisgarh,Bilaspur,648.360000098,54.03000000816667
Chhattisgarh,Dantewada,1098.14003,91.51166916666666
Chhattisgarh,Dhamtari,859.9300195988001,71.66083496656667
Chhattisgarh,Durg,861.62999818,71.80249984833334
Chhattisgarh,Gariyaband,683.98998807,56.9991656725
Chhattisgarh,Gaurella Pendra Marwahi,648.360000098,54.03000000816667
Chhattisgarh,Janjgir-Champa,388.26999828,32.35583319
Chhattisgarh,Jashpur,587.5699871398,48.964165594983335
Chhattisgarh,Kabirdham,848.299990901,70.69166590841667
Chhattisgarh,Kanker,965.049999,80.42083325
Chhattisgarh,Kondagaon,902.189989898,75.18249915816666
Chhattisgarh,Korba,442.9199969,36.90999974166667
Chhattisgarh,Korea,589.36999929,49.1141666075
Chhattisgarh,Mahasamund,862.0499822098,71.83749851748333
Chhattisgarh,Mungeli,648.360000098,54.03000000816667
Chhattisgarh,Narayanpur,946.1199817,78.84333180833333
Chhattisgarh,Raigarh,624.520000099,52.04333334158333
Chhattisgarh,Raipur,683.98998807,56.9991656725
Chhattisgarh,Rajnandgaon,849.8000000010001,70.81666666675001
Chhattisgarh,Sukma,1090.7634773999998,90.89695644999999
Chhattisgarh,Surajpur,580.88998821,48.407499017499994
Chhattisgarh,Surguja,580.88998821,48.407499017499994
Delhi,Central,315.78380400000003,26.315317000000004
Delhi,East,926.142888,77.178574
Delhi,New Delhi,348.87141599999995,29.072617999999995
Delhi,North,1071.36282,89.280235
Delhi,North East,933.011448,77.750954
Delhi,North West,1071.36282,89.280235
Delhi,Shahdara,933.011448,77.750954
Delhi,South,972.3770999999999,81.031425
Delhi,South East,972.3770999999999,81.031425
Delhi,South West,1046.614284,87.217857
Delhi,West,1035.239964,86.269997
Goa,North Goa,2947.4943599999997,245.62452999999996
Goa,South Goa,3199.1418,266.59515
Gujarat,Ahmadabad,582.5694977899999,48.54745814916666
Gujarat,Amreli,0.0,
Gujarat,Anand,525.8499928,43.82083273333333
Gujarat,Arvalli,801.680015998,66.80666799983334
Gujarat,Banas Kantha,993.059997989,82.75499983241666
Gujarat,Bharuch,788.799997,65.73333308333333
Gujarat,Bhavnagar,577.11031656,48.09252638
Gujarat,Botad,579.85260522,48.321050435
Gujarat,Chhotaudepur,606.210008,50.51750066666667
Gujarat,Dang,1336.379989,111.36499908333333
Gujarat,Devbhumi Dwarka,690.46998,57.539165
Gujarat,Dohad,748.09999011,62.3416658425
Gujarat,Gandhinagar,679.2099900000001,56.6008325
Gujarat,Gir Somnath,822.880023099,68.57333525825
Gujarat,Jamnagar,690.46998,57.539165
Gujarat,Junagadh,0.0,
Gujarat,Kachchh,456.400010011,38.033334167583334
Gujarat,Kheda,534.837162536,44.56976354466667
Gujarat,Mahesana,877.60896578097,73.1340804817475
Gujarat,Mahisagar,502.7804373,41.898369775
Gujarat,Morbi,823.06349,68.58862416666666
Gujarat,Narmada,953.909967,79.49249725
Gujarat,Navsari,1759.8000299999999,146.6500025
Gujarat,Panch Mahals,493.609998609,41.13416655075
Gujarat,Patan,1031.03001,85.9191675
Gujarat,Porbandar,621.6500000098,51.80416666748334
Gujarat,Rajkot,814.130492019,67.84420766825001
Gujarat,Sabar Kantha,801.680015998,66.80666799983334
Gujarat,Surat,1069.6900289,89.14083574166666
Gujarat,Surendranagar,877.4300019998001,73.11916683331667
Gujarat,Tapi,959.790007,79.98250058333333
Gujarat,Vadodara,606.210008,50.51750066666667
Gujarat,Valsad,2273.600111,189.46667591666667
Haryana,Ambala,1105.7457239999999,92.14547699999999
Haryana,Bhiwani,670.414308,55.867859
Haryana,Charki Dadri,670.414308,55.867859
Haryana,Faridabad,656.7828360000001,54.73190300000001
Haryana,Fatehabad,581.837124,48.486427
Haryana,Gurugram,732.236208,61.019684000000005
Haryana,Hisar,637.396176,53.116347999999995
Haryana,Jhajjar,675.00192,56.25016
Haryana,Jind,740.450496,61.704208
Haryana,Kaithal,782.654844,65.221237
Haryana,Karnal,950.113308,79.176109
Haryana,Kurukshetra,916.505676,76.375473
Haryana,Mahendragarh,682.5981,56.883175
Haryana,Nuh,956.9257560000001,79.743813
Haryana,Palwal,942.0628919999999,78.505241
Haryana,Panchkula,1176.94098,98.078415
Haryana,Panipat,852.044856,71.003738
Haryana,Rewari,730.6266599999999,60.88555499999999
Haryana,Rohtak,794.4771479999999,66.206429
Haryana,Sirsa,502.059036,41.838253
Haryana,Sonipat,819.82764,68.31897
Haryana,Yamunanagar,1307.69436,108.97453
Himachal Pradesh,Bilaspur,1209.3700269998,100.78083558331667
Himachal Pradesh,Chamba,1071.82999701,89.3191664175
Himachal Pradesh,Hamirpur,1336.1099677999998,111.34249731666665
Himachal Pradesh,Kangra,1478.69001199,123.22416766583332
Himachal Pradesh,Kinnaur,666.5799931,55.54833275833334
Himachal Pradesh,Kullu,1012.249992399,84.35416603325
Himachal Pradesh,Lahul And Spiti,1004.8999948999999,83.74166624166666
Himachal Pradesh,Mandi,1269.5799987999999,105.79833323333332
Himachal Pradesh,Shimla,879.0400111,73.25333425833334
Himachal Pradesh,Sirmaur,1049.1399862,87.42833218333334
Himachal Pradesh,Solan,847.209998,70.60083316666667
Himachal Pradesh,Una,1338.6200262,111.55166885
Jammu And Kashmir,Anantnag,424.5199949998,35.37666624998334
Jammu And Kashmir,Doda,413.570001999,34.46416683325
Jammu And Kashmir,Jammu,416.709999,34.72583325
Jammu And Kashmir,Kathua,414.7500058,34.56250048333333
Jammu And Kashmir,Rajouri,0.0,
Jammu And Kashmir,Samba,0.0,
Jammu And Kashmir,Udhampur,412.49421364299997,34.37451780358333
Jharkhand,Bokaro,1300.46000132,108.37166677666666
Jharkhand,Chatra,1184.259990011,98.68833250091666
Jharkhand,Deoghar,1255.849990998,104.6541659165
Jharkhand,Dhanbad,1192.630021098,99.3858350915
Jharkhand,Dumka,1253.73998919,104.4783324325
Jharkhand,East Singhbum,711.6900080180001,59.307500668166675
Jharkhand,Garhwa,883.650006503,73.63750054191667
Jharkhand,Giridih,1228.7300089980001,102.39416741650001
Jharkhand,Godda,982.9300071,81.910833925
Jharkhand,Gumla,1153.230005799,96.10250048325001
Jharkhand,Hazaribagh,1338.560020901,111.54666840841666
Jharkhand,Jamtara,1301.1799789,108.43166490833333
Jharkhand,Khunti,1267.0199997,105.584999975
Jharkhand,Koderma,1245.890001099,103.82416675825
Jharkhand,Latehar,1000.119996703,83.34333305858333
Jharkhand,Lohardaga,1145.689986097,95.47416550808333
Jharkhand,Pakur,1069.6100052000002,89.13416710000001
Jharkhand,Palamu,862.379992099,71.86499934158333
Jharkhand,Ramgarh,1471.069997599,122.58916646658334
Jharkhand,Ranchi,1360.9200042969999,113.41000035808332
Jharkhand,Sahebganj,734.810001404,61.234166783666666
Jharkhand,Saraikela Kharsawan,862.16000478,71.846667065
Jharkhand,Simdega,1176.009989698,98.00083247483333
Jharkhand,West Singhbhum,940.51999139,78.37666594916666
Karnataka,Bagalkote,612.72998712,51.060832260000005
Karnataka,Ballari,661.6299989,55.13583324166667
Karnataka,Belagavi,626.2299859999999,52.185832166666664
Karnataka,Bengaluru Rural,1143.7799989,95.31499990833333
Karnataka,Bengaluru Urban,1144.919979,95.40999825
Karnataka,Bidar,980.3699981,81.69749984166667
Karnataka,Chamarajanagara,1039.260002,86.60500016666667
Karnataka,Chikkaballapura,1112.839999,92.73666658333333
Karnataka,Chikkamagaluru,1016.2199931,84.684999425
Karnataka,Chitradurga,610.02999892,50.83583324333333
Karnataka,Dakshina Kannada,1854.0199787,154.50166489166665
Karnataka,Davangere,580.6700062,48.389167183333335
Karnataka,Dharwad,584.71999621,48.726666350833334
Karnataka,Gadag,582.9100021,48.57583350833334
Karnataka,Hassan,885.5400008,73.79500006666667
Karnataka,Haveri,616.4699982,51.37249985
Karnataka,Kalaburagi,954.3000196,79.52500163333333
Karnataka,Kodagu,971.2400098999999,80.93666749166665
Karnataka,Kolar,1151.18,95.93166666666667
Karnataka,Koppal,625.5100083,52.125834024999996
Karnataka,Mandya,820.6100028000001,68.38416690000001
Karnataka,Mysuru,830.3499954,69.19583295
Karnataka,Raichur,747.5600000000001,62.296666666666674
Karnataka,Ramanagara,1061.990004,88.499167
Karnataka,Shivamogga,1061.989983,88.49916524999999
Karnataka,Tumakuru,859.1600099999999,71.5966675
Karnataka,Udupi,2379.5100401,198.29250334166667
Karnataka,Uttara Kannada,1038.199987,86.51666558333334
Karnataka,Vijayapura,705.429997988,58.785833165666666
Karnataka,Yadgir,828.98,69.08166666666666
Kerala,Alappuzha,1131.58998723,94.2991656025
Kerala,Ernakulam,816.0900211,68.00750175833333
Kerala,Idukki,872.809998,72.7341665
Kerala,Kannur,965.229992,80.43583266666667
Kerala,Kasaragod,833.130001,69.42750008333333
Kerala,Kollam,1140.8200099,95.06833415833334
Kerala,Kottayam,865.2600022,72.10500018333333
Kerala,Kozhikode,510.7399968,42.5616664
Kerala,Malappuram,429.52999689,35.7941664075
Kerala,Palakkad,718.110002,59.84250016666667
Kerala,Pathanamthitta,1353.7599989999999,112.81333324999999
Kerala,Thiruvananthapuram,933.6300241,77.80250200833333
Kerala,Thrissur,953.7999799,79.48333165833334
Kerala,Wayanad,642.460009,53.53833408333333
Ladakh,Kargil,415.850000999,34.65416674991666
Ladakh,Leh Ladakh,207.0900002,17.257500016666665
Lakshadweep,Lakshadweep District,3606.5742,300.54785
Madhya Pradesh,Agar Malwa,761.0700202,63.42250168333334
Madhya Pradesh,Alirajpur,772.379989,64.36499908333333
Madhya Pradesh,Anuppur,834.3399992,69.52833326666666
Madhya Pradesh,Ashoknagar,766.879997791,63.90666648258334
Madhya Pradesh,Balaghat,962.1599880897999,80.17999900748332
Madhya Pradesh,Barwani,703.669992,58.639165999999996
Madhya Pradesh,Betul,706.3000020100001,58.85833350083334
Madhya Pradesh,Bhind,527.0100021,43.917500174999994
Madhya Pradesh,Bhopal,785.2400003099999,65.4366666925
Madhya Pradesh,Burhanpur,645.872699653801,53.82272497115008
Madhya Pradesh,Chhatarpur,656.1299883,54.677499025
Madhya Pradesh,Chhindwara,953.0307088419801,79.41922573683168
Madhya Pradesh,Damoh,742.7499919998,61.89583266665
Madhya Pradesh,Datia,455.03796772789997,37.919830643991666
Madhya Pradesh,Dewas,652.680010188,54.390000848999996
Madhya Pradesh,Dhar,763.659999699,63.63833330825
Madhya Pradesh,Dindori,881.187357713,73.43227980941667
Madhya Pradesh,East Nimar,759.53998097,63.29499841416666
Madhya Pradesh,Guna,656.2999909938,54.691665916149994
Madhya Pradesh,Gwalior,451.659987,37.63833225
Madhya Pradesh,Harda,692.16999001,57.68083250083333
Madhya Pradesh,Hoshangabad,861.3400001,71.77833334166667
Madhya Pradesh,Indore,732.7900099999999,61.06583416666666
Madhya Pradesh,Jabalpur,826.8100011898,68.90083343248334
Madhya Pradesh,Jhabua,893.7099888,74.4758324
Madhya Pradesh,Katni,737.5999893989999,61.466665783249994
Madhya Pradesh,Khargone,737.7399879998,61.478332333316665
Madhya Pradesh,Mandla,918.34000899,76.5283340825
Madhya Pradesh,Mandsaur,940.4800018039999,78.37333348366666
Madhya Pradesh,Morena,506.7599998,42.229999983333336
Madhya Pradesh,Narsinghpur,817.6700003,68.13916669166666
Madhya Pradesh,Neemuch,859.6599999,71.638333325
Madhya Pradesh,Niwari,588.8100157998,49.06750131665
Madhya Pradesh,Panna,795.4500015688001,66.28750013073333
Madhya Pradesh,Raisen,885.1600011998,73.76333343331667
Madhya Pradesh,Rajgarh,762.630020109,63.55250167575
Madhya Pradesh,Ratlam,820.26998708,68.35583225666666
Madhya Pradesh,Rewa,743.5399980039999,61.96166650033333
Madhya Pradesh,Sagar,876.2600098,73.02166748333333
Madhya Pradesh,Satna,682.825976560111,56.902164713342586
Madhya Pradesh,Sehore,816.0899898,68.00749915
Madhya Pradesh,Seoni,902.149988988,75.179165749
Madhya Pradesh,Shahdol,722.060664115,60.171722009583334
Madhya Pradesh,Shajapur,761.0700202,63.42250168333334
Madhya Pradesh,Sheopur,393.07000188999996,32.75583349083333
Madhya Pradesh,Shivpuri,522.3500010097999,43.529166750816664
Madhya Pradesh,Sidhi,761.95000697,63.49583391416667
Madhya Pradesh,Singrauli,820.569988689,68.38083239075
Madhya Pradesh,Tikamgarh,588.8100157998,49.06750131665
Madhya Pradesh,Ujjain,802.64999,66.88749916666667
Madhya Pradesh,Umaria,656.3700068,54.69750056666667
Madhya Pradesh,Vidisha,808.1800098,67.34833415
Maharashtra,Ahmednagar,1729.0200297000001,144.085002475
Maharashtra,Akola,274.760898712781,22.896741559398418
Maharashtra,Amravati,472.71001301900003,39.39250108491667
Maharashtra,Aurangabad,820.6862449,68.39052040833333
Maharashtra,Beed,869.7000102,72.47500085
Maharashtra,Bhandara,934.02999101,77.83583258416667
Maharashtra,Buldhana,321.48000579,26.7900004825
Maharashtra,Chandrapur,880.1599990088,73.34666658406667
Maharashtra,Dhule,253.0000009,21.083333408333335
Maharashtra,Gadchiroli,982.7099899899999,81.89249916583333
Maharashtra,Gondia,964.2999991199999,80.35833326
Maharashtra,Hingoli,849.4200090997999,70.78500075831666
Maharashtra,Jalgaon,747.019993,62.25166608333333
Maharashtra,Jalna,836.629989,69.71916575
Maharashtra,Kolhapur,3451.9100198100004,287.6591683175
Maharashtra,Latur,806.110000098,67.1758333415
Maharashtra,Mumbai,0.0,
Maharashtra,Nagpur,964.8499978140001,80.40416648450001
